,GEO.id
0,1500000US360470033002
1,1500000US360470037001
2,1500000US360470009002
3,1500000US360470043002
4,1500000US360470043001
5,1500000US360470043004
6,1500000US360470041001
7,1500000US360470043003
8,1500000US360470041002
9,1500000US360470013001
10,1500000US360470011001
11,1500000US360470009001
12,1500000US360470009001
13,1500000US360470031001
14,1500000US360470031001
15,1500000US360470031002
16,1500000US360470039001
17,1500000US360470039001
18,1500000US360470035001
19,1500000US360470041003
20,1500000US360470039002
21,1500000US360470039003
22,1500000US360470129011
23,1500000US360470007003
